fill	x	y	showSelected2	PANEL	group
#A197CC	0.374229693294002	0.437640936245844	subtrain	1	1
#C89089	0.91610922861498	0.976138671139211	subtrain	1	2
#A197CC	0.986754048436329	0.338091214709136	subtrain	1	3
#A197CC	0.706306503961608	0.505184401110687	subtrain	1	4
#C89089	0.145895074493535	0.624266388290526	subtrain	1	5
#C89089	0.153474516010967	0.752827244046849	subtrain	1	6
#A197CC	0.351568900548219	0.362963296673401	subtrain	1	7
#A197CC	0.478058845613119	0.0890648267555427	subtrain	1	8
#A197CC	0.977950429681655	0.040519747967519	subtrain	1	9
#A197CC	0.768578697206314	0.637865588292572	subtrain	1	10
#A197CC	0.279294462541179	0.495700170840211	subtrain	1	11
#C89089	0.116577269459148	0.156393905874994	subtrain	1	12
#A197CC	0.421747407896291	0.54405258461545	subtrain	1	13
#A197CC	0.38050624849667	0.127269442671487	subtrain	1	14
#A197CC	0.324135483075365	0.608870778633458	subtrain	1	15
#A197CC	0.570121101112105	-0.0673816533014411	subtrain	1	16
#C89089	0.110297897321705	0.67132087399248	subtrain	1	17
#A197CC	0.591644247015485	0.593183485154705	subtrain	1	18
#C89089	0.0815296306656056	0.466704791985039	subtrain	1	19
#A197CC	0.408429590751157	0.507374620918608	subtrain	1	20
#A197CC	0.705889359420853	0.653246604386229	subtrain	1	21
#A197CC	0.529859791567716	0.214230546029217	subtrain	1	22
#A197CC	0.751815281629781	0.352562584163862	subtrain	1	23
#A197CC	0.478099846021228	0.733914734162688	subtrain	1	24
#C89089	0.610701279761684	0.915568144467846	subtrain	1	25
#A197CC	0.860281485196569	0.577517919017655	subtrain	1	26
#A197CC	0.198329169658781	0.440748228369742	subtrain	1	27
#C89089	0.0457065453418125	0.238177778990819	subtrain	1	28
#A197CC	0.487570928453394	0.103912723470787	subtrain	1	29
#A197CC	0.50029471830964	0.1914361331597	subtrain	1	30
#C89089	0.281671017714465	0.875632243861122	subtrain	1	31
#A197CC	0.376715806756273	0.822855378688818	subtrain	1	32
#A197CC	0.368321903944322	0.426626954549573	subtrain	1	33
#A197CC	0.695085938135267	0.276031826941055	subtrain	1	34
#A197CC	0.885698246998585	0.290623867172023	subtrain	1	35
#C89089	0.844730468582628	0.860333512417685	subtrain	1	36
#A197CC	0.329917284029691	0.523817625082434	subtrain	1	37
#C89089	0.89046203442946	0.951955789367441	subtrain	1	38
#A197CC	0.493751793905962	0.778128706575983	subtrain	1	39
#C89089	1.02101341713726	0.949071795377785	subtrain	1	40
#A197CC	0.761709457217466	0.170883680924901	subtrain	1	41
#A197CC	0.251989650423566	0.46827790226863	subtrain	1	42
#A197CC	0.194754524909138	0.139140013390691	subtrain	1	43
#C89089	0.083387821047144	0.771758140337289	subtrain	1	44
#C89089	0.0969989045552084	0.597904547899913	subtrain	1	45
#C89089	0.0790349662478616	0.407723614414666	subtrain	1	46
#C89089	0.917787871090197	0.855989221469349	subtrain	1	47
#A197CC	0.744909605247353	0.597295541860324	subtrain	1	48
